timestamp,thrust,vz,az
1762932590.0039177,0.85,0.005670234560966492,-0.0032128946030509425
1762932590.0239954,0.85,0.005670234560966492,0.0
1762932590.043842,0.85,0.005499699153006077,-0.008620530302779377
1762932590.06349,0.85,0.005499699153006077,0.0
1762932590.083955,0.85,0.00538243493065238,-0.005836474810226673
1762932590.1039517,0.85,0.0052453321404755116,-0.006863466609707649
1762932590.123864,0.85,0.0052453321404755116,0.0
1762932590.1440084,0.85,0.005171159747987986,-0.0037122403580094813
1762932590.1637874,0.85,0.005171159747987986,0.0
1762932590.1835048,0.85,0.004957348573952913,-0.010809725111381485
1762932590.2034662,0.85,0.004916013218462467,-0.002077264399258196
1762932590.2237382,0.85,0.004916013218462467,0.0
1762932590.2437577,0.85,0.004803920164704323,-0.005603152723923024
1762932590.2636206,0.85,0.004803920164704323,0.0
1762932590.283452,0.85,0.004774445202201605,-0.0014846232128636063
1762932590.3035142,0.85,0.00477197952568531,-0.00012377843205135797
1762932590.3243759,0.85,0.00477197952568531,0.0
1762932590.3436158,0.85,0.004707595333456993,-0.003310311026007091
1762932590.3634388,0.85,0.004707595333456993,0.0
1762932590.383535,0.85,0.004517928697168827,-0.009485465095508282
1762932590.4033387,0.85,0.004202611744403839,-0.015906999190919983
1762932590.4239316,0.85,0.004202611744403839,0.0
1762932590.4436274,0.85,0.0040411511436104774,-0.008162955194833165
1762932590.4639275,0.85,0.0040411511436104774,0.0
1762932590.4836612,0.85,0.0039019696414470673,-0.00703907205030056
1762932590.504386,0.85,0.003493200521916151,-0.01982746279673308
1762932590.5236115,0.85,0.003493200521916151,0.0
1762932590.5441296,0.85,0.003124190727248788,-0.018416064583841582
1762932590.563643,0.85,0.003124190727248788,0.0
1762932590.5837893,0.85,0.0027979922015219927,-0.01633304244130694
1762932590.603617,0.85,0.0027979922015219927,0.0
1762932590.6237662,0.85,0.0025539821945130825,-0.012197950978690962
1762932590.643816,0.85,0.0023529839236289263,-0.010105275802958107
1762932590.6635525,0.85,0.0023529839236289263,0.0
1762932590.6837018,0.85,0.002075572730973363,-0.013870303725674429
1762932590.7035828,0.85,0.002075572730973363,0.0
1762932590.7235987,0.85,0.0018110835226252675,-0.01327644166947326
1762932590.7436273,0.85,0.001471729134209454,-0.016982149152925913
1762932590.7635362,0.85,0.001471729134209454,0.0
1762932590.7836194,0.85,0.0011173640377819538,-0.01775808798854211
1762932590.803531,0.85,0.0011173640377819538,0.0
1762932590.823329,0.85,0.0008298983448185027,-0.01448727998381722
1762932590.8434749,0.85,0.0004582430992741138,-0.018521331650467755
1762932590.8633296,0.85,0.0004582430992741138,0.0
1762932590.883292,0.85,0.00019033669377677143,-0.01343025370778644
